,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
0,03-2023,"24,687,000","31,185,000","35,899,000","7,482,000","13,660,000","$62,158,000","43,398,000","110,461,000","65,388,000","$332,160,000","12,574,000","42,945,000","56,425,000","97,041,000","8,131,000","52,886,000","$270,002,000","15,728,700","69,568,000","4,336,000","-11,746,000","$332,160,000",AAPL,,,,
1,12-2022,"20,535,000","30,820,000","54,180,000","6,820,000","16,422,000","$56,727,000","42,951,000","114,095,000","60,924,000","$346,747,000","11,483,000","57,918,000","59,893,000","99,627,000","7,992,000","53,107,000","$290,020,000","15,821,950","66,399,000","3,240,000","-12,912,000","$346,747,000",AAPL,,,,
2,09-2022,"23,646,000","24,658,000","60,932,000","4,946,000","21,223,000","$50,672,000","42,117,000","120,805,000","54,428,000","$352,755,000","21,110,000","64,115,000","60,845,000","98,959,000","7,912,000","49,142,000","$302,083,000","15,908,120","64,849,000","-3,068,000","-11,109,000","$352,755,000",AAPL,,,,
3,06-2022,"27,502,000","20,729,000","42,242,000","5,433,000","16,386,000","$58,107,000","40,335,000","131,077,000","52,605,000","$336,309,000","24,991,000","48,343,000","48,811,000","94,700,000","7,728,000","53,629,000","$278,202,000","16,070,750","62,115,000","5,289,000","-9,297,000","$336,309,000",AAPL,,,,
4,03-2022,"28,098,000","23,413,000","45,400,000","5,460,000","15,809,000","$67,399,000","39,304,000","141,219,000","51,959,000","$350,662,000","16,658,000","52,682,000","50,248,000","103,323,000","7,920,000","52,432,000","$283,263,000","16,185,180","61,181,000","12,712,000","-6,494,000","$350,662,000",AAPL,,,,
5,12-2021,"37,119,000","26,794,000","65,253,000","5,876,000","18,112,000","$71,932,000","39,245,000","138,683,000","50,109,000","$381,191,000","16,169,000","74,362,000","49,167,000","106,629,000","7,876,000","55,056,000","$309,259,000","16,319,440","58,424,000","14,435,000","-927,000","$381,191,000",AAPL,,,,
6,09-2021,"34,940,000","27,699,000","51,506,000","6,580,000","14,111,000","$63,090,000","39,440,000","127,877,000","48,849,000","$351,002,000","15,613,000","54,763,000","47,493,000","109,106,000","7,612,000","53,325,000","$287,912,000","16,406,400","57,365,000","5,562,000","163,000","$351,002,000",AAPL,,,,
7,06-2021,"34,050,000","27,646,000","33,908,000","5,178,000","13,641,000","$64,280,000","38,615,000","131,948,000","44,854,000","$329,840,000","16,039,000","40,409,000","43,625,000","105,752,000","7,681,000","52,054,000","$265,560,000","16,530,170","54,989,000","9,233,000","58,000","$329,840,000",AAPL,,,,
8,03-2021,"38,466,000","31,368,000","33,036,000","5,219,000","13,376,000","$69,178,000","37,815,000","134,539,000","43,339,000","$337,158,000","13,003,000","40,127,000","45,660,000","108,642,000","7,595,000","52,953,000","$267,980,000","16,687,630","54,203,000","15,261,000","-286,000","$337,158,000",AAPL,,,,
9,12-2020,"36,010,000","40,816,000","58,620,000","4,973,000","13,687,000","$66,224,000","37,933,000","118,745,000","43,270,000","$354,054,000","12,762,000","63,846,000","48,504,000","99,281,000","7,395,000","56,042,000","$287,830,000","16,788,100","51,744,000","14,301,000","179,000","$354,054,000",AAPL,,,,
10,09-2020,"38,016,000","52,927,000","37,445,000","4,061,000","11,264,000","$65,339,000","36,766,000","100,887,000","42,522,000","$323,888,000","13,769,000","42,296,000","42,684,000","98,667,000","6,643,000","54,490,000","$258,549,000","17,001,800","50,779,000","14,966,000","-406,000","$323,888,000",AAPL,,,,
11,06-2020,"33,383,000","59,642,000","32,075,000","3,978,000","10,987,000","$72,282,000","35,687,000","100,592,000","41,000,000","$317,344,000","18,675,000","35,325,000","35,005,000","94,048,000","6,313,000","55,696,000","$245,062,000","17,102,540","48,696,000","24,136,000","-550,000","$317,344,000",AAPL,,,,
12,03-2020,"40,174,000","53,877,000","30,677,000","3,334,000","15,691,000","$78,425,000","35,889,000","98,793,000","41,965,000","$320,400,000","20,421,000","32,421,000","37,324,000","89,086,000","5,928,000","56,795,000","$241,975,000","17,337,340","48,032,000","33,182,000","-2,789,000","$320,400,000",AAPL,,,,
13,12-2019,"39,771,000","67,391,000","39,946,000","4,097,000","12,026,000","$89,531,000","37,031,000","99,899,000","40,457,000","$340,618,000","15,214,000","45,111,000","36,263,000","93,078,000","5,573,000","55,848,000","$251,087,000","17,501,920","45,972,000","43,977,000","-418,000","$340,618,000",AAPL,,,,
14,09-2019,"48,844,000","51,713,000","45,804,000","4,106,000","12,352,000","$90,488,000","37,378,000","105,341,000","32,978,000","$338,516,000","16,240,000","46,236,000","37,720,000","91,807,000","5,522,000","50,503,000","$248,028,000","17,773,060","45,174,000","45,898,000","-584,000","$338,516,000",AAPL,,,,
15,06-2019,"50,530,000","44,084,000","26,474,000","3,355,000","10,530,000","$96,456,000","37,636,000","115,996,000","33,634,000","$322,239,000","23,482,000","29,115,000","31,673,000","84,936,000","5,434,000","51,143,000","$225,783,000","18,076,720","43,371,000","53,724,000","-639,000","$322,239,000",AAPL,N/A,,,
16,03-2019,"37,988,000","42,104,000","26,278,000","4,884,000","12,092,000","$105,860,000","38,746,000","145,319,000","34,587,000","$341,998,000","22,429,000","30,443,000","35,368,000","90,201,000","5,532,000","52,165,000","$236,138,000","18,404,300","42,801,000","64,558,000","-1,499,000","$341,998,000",AAPL,N/A,,,
